Id,Text
1,"As a Data Publishing User, I want to be able to edit a dataset I have published, So that I can correct or enhance existing data."
2,
3,"As a Data Publishing User, I want to be able to edit the model of data I have already imported, So that I can fix bugs or make enhancements in the API built for my data."
4,
5,"As a Data Publishing User, I want to be able to delete a dataset I have published, So that I can remove unwanted data from OpenSpending."
6,
7,"As a Platform Administrator, I want to be able to Hide any dataset already added as Public, So that I can maintain Public/Hidden status for other users."
8,
9,"As a Platform Administrator, I want to have a view on all datasets published by all users, So that I can perform management actions on any dataset."
10,
11,"As a Platform Administrator, I want to be able to delete any dataset published, So that I can deal with takedown requests, or clean up test datasets."
12,
13,"As a Data Publishing User, I want to be able to edit the data source of data I have already imported, So that I can fix bugs or make enhancements in the API built for my data."
14,
15,"As a Data Publishing User, I want to have the Packager support Constants, So that I can model dimensions that may not exist in the source file."
16,
17,"As a Data Publishing User, I want to be able to import data in Excel, So that I do not have to convert data formats in order to use the data packager."
18,
19,"As a Data Publishing User, I want to know what my data needs to be able to be visualised on a map, So that I can visualise it on a map."
20,
21,"As a Data Publishing User, I want to be able to import data in JSON, So that I do not have to convert data formats in order to use the data packager."
22,
23,"As a Data Publishing User, I want to be able to import data from a Google Spreadsheet, So that I do not have to convert data formats in order to use the data packager."
24,
25,"As a Data Publishing User, I want to be able to import data from Fiscal Data Package descriptor file, So that I do not have to convert data formats in order to use the data packager."
26,
27,"As a Data Publishing User, I want to be able to provide the Platform Administrator with additional GeoJSON sources, So that I can improve the map-based visualisations of my data."
28,
29,"As a Data Consuming User, I want to be able to filter, sort and aggregate data by multiple dimensions and measures, So that I can get more granular views on the data."
30,
31,"As a Data Consuming User, I want to be able to download a CSV of the data that is used in any visualisation I am viewing, So that I can use the data in other tools."
32,
33,"As a Data Consuming User, I want to be able to change the display of all monetary measures across a set of currencies, So that I can understand localised amounts in non-localised figures."
34,
35,"As a Data Consuming User, I want to see textual descriptions that accompany embedded visualisations, So that I can more easily understand what I am viewing."
36,
37,"As a Data Consuming User, I want to be able to share a view state as a URL to social networks, So that I can share data that I have found with others."
38,
39,"As a Data Consuming User, I want to be able to download an image ofa particular view state, So that I can use it offline."
40,
41,"As a Data Consuming User, I want to be able to share an image of a particular view state to the social networks that support this, So that I can provide richer context in those communication channels for data I am sharing."
42,
43,"As a Data Consuming User, I want to be able to have stepped zoom on map visualisations, So that I can have better control over the navigation experience inside a map view."
44,
45,"As a Data Consuming User, I want to have consistent use of colour on map visualisations, So that I can better understand the visual logic of the map view."
46,
47,"As a Developer, I want to be able to customise the Brand Name and Icon, and Primary Color of all frontend Javascript apps, So that I can customise the branding for my own needs."
48,
49,"As an API User, I want to be able to understand if a user is a Publisher, So that I can offer functionality based on Dataset Publisher privileges."
50,
51,"As an API User, I want to be able to understand if a user is an Administrator, So that I can offer functionality based on Platform Administration privileges."
52,
53,"As an API User, I want to be able to get bordering regions|cities when I query a region|city, So that I can provider wider visual context for mapping visualisations."
54,
55,"As an API User, I want to be able to dynamically request polygons based on the query made, So that I can provide maps that match the query."
56,
57,"As an API User, I want to have a flexible API using HASC codes for countries, regions and cities, So that I can visualise budget data on maps."
58,
59,"As an API User, I want to be able to get a CSV output of any cube-based query, So that I can use work with tools that read CSV."
60,
61,"As an API User, I want to be able to get a set of monetary measures transferred to different currencies, So that I can use this in scenarios that might enable comparison by normalisation."
62,
63,"As an API User, I want to be able to use metadata to get results from multiple datasets, So that I can build user experiences based on more than one dataset more easily."
64,
65,"As an API User, I want to be able to use data to get results from multiple datasets, So that I can build user experiences based on more than one dataset more easily."
66,
67,"As an API User, I want to be able to normalise measures by population, So that I work with datasets in reference to their contextual constraints."
68,
69,"As an API User, I want to be able to normalise measures by geographical area, So that I work with datasets in reference to their contextual constraints."
70,
71,"As an API User, I want to be able to normalise measures by GDP, so I work with datasets in reference to their contextual constraints."
72,
73,"As an API User, I want to be able to normalise measures by GINI and related socioeconomic indexes, So that I work with datasets in reference to their contextual constraints."
74,
75,"As an API User, I want to be able to get a relative percentage of a measure to the total of the dataset it comes from, So that I can build alternative displays of the data."
76,
77,"As an API User, I want to be able to persistently store visualisation state in the database, So that such can be shared more easily and contribute to a visualisation gallery."
78,
79,"As a Data Publishing User, I want to have my dataset update automatically as the source file/files changes, So that OpenSpending always shows current data."
80,
81,"As an OpenSpending Community Member, I want to have a blog that highlights any and all projects in the open fiscal space, So that I can relate to openspending.org as the central hub of fiscal openness."
82,
83,"As a User, I want to be able to set my own username, So that my data is more easily discoverable."
84,
