Id,Text
1,"As a researcher, I want to be able to view a finding aid for a particular collection/Resource."
2,"As an Application Administrator, I want to be able to reset a User's password for them."
3,"As a user, I want backend changes for managing enum lists."
4,"As an Archivist, I want to import EAD files that were exported by Archon."
5,"As an Archivist, I want to assign a component unique identifier to a Resource Component."
6,"As a User , I want to authenticate using LDAP."
7,"As a migration specialist, I want to store the AT or Archon source record ids in each ASpace record"
8,to support data migration integrity testing.
9,"As an Archivist, I want to associate a standard identifier string with a Subject heading."
10,"As an Archivist, I want to be able to understand that an error occurred during import and why it might have occurred."
11,"As an Archivist, I want to import Accessions data in CSV."
12,"As an Archivist, I want to import Resources from MARCXML records."
13,"As a user, I want frontend changes for managing enum lists."
14,"As an Authenticated User, I want to get access to links to contextual help."
15,"As an Archivist, I want to see Dates and Extents displayed in both the read and edit views for Accessions and/or Resources before the list of Subjects."
16,"As an Archivist, I want to import Agent information from EAC-CPF records."
17,"As a user, I want backend changes to support loading enum value lists from the database."
18,"As a user, I want backend changes for bulk updating one enum value to another."
19,"As an Archivist, I want to export agent records as EAC-CPF."
20,"As an Archivist, I want to import only Agent and Subject information from MARCXML records."
21,"As an Application Administrator, I want to assign Users to an Advanced Data Entry and ensure that the appropriate permissions are enforced."
22,"As an Application Administrator , I want to be able to configure the help center URL and topic mappings."
23,"As a user, I want to add additional properties for repositories."
24,"As an Archivist, I want to add Notes to other record types."
25,"As an Administrator, I want to create a new User account for someone else."
26,"As an Archivist, I want to add administrative data about the archival description and finding aid-related data to a top-level Resource."
27,"As an Archivist, I want to assign a Level of description to a Resource or Resource Component and optionally specify another value if the Level is not in a predefined list."
28,"As a developer, I want to use a configuration that is not prepackaged within a built version of application."
29,"As an Archivist, I want to import EAD files that were exported by the Archivists' Toolkit."
30,"As a systems administrator, I want to be able to control the location of the demo database and I want it to be backed up."
31,"As an archivist, I want to search within a repository for resource and accession and digital object records."
32,"As an archivist, I want to create and edit a Collection Management subrecord."
33,"As an Archivist, I want to rearrange the Resource and/or Digital Object hierarchy using keyboard-based navigation."
34,"As an Archivist, I want to rearrange the resource description hierarchy by dragging an archival object to a different position in the hierarchy."
35,"As an Archivist, I would like to indicate an Agent is either the creator or source or subject of an Accession or Resource or Resource Component."
36,"As an Archivist, I want to export a description as EAD."
37,"As an Archivist, I want to create and edit Event records."
38,"As an Archivist, I want to manage Digital Objects."
39,"As an Archivist, I want to associate an Instance with a Resource and/or Resource Component."
40,"As an Archivist, I don't want to inadvertently overwrite someone else's changes to a record that I'm editing."
41,"As an Archivist, I want to create and edit Rights Management statements."
42,"As an Archivist, I want to upload an EAD for import from within the frontend application."
43,"As an Archivist, I want to import EAD data."
44,"As a Repository Manager , I want to create, update and delete archival descriptions in my repository."
45,"As a Developer , I want to develop a custom importer."
46,"As a Basic Data Entry user , I want to create and update basic archival description information."
47,"As a Repository Manager , I want to create, update and delete any records in my repository."
48,"As a ReadOnly user , I want to view archival descriptions in my repository."
49,"As an System Administrator, I want to declare that a user is has the Repository Manager role for a given Repository."
50,"As an Archivist, I want to specify the Source for a Name Form of an Agent and add new Sources and edit existing Sources."
51,"As an Archivist, I want to create and edit Agent records."
52,"As an Archivist, I want to create and edit a Resource record."
53,"As an Archivist, I want to associate a Subject record with a Resource description."
54,"As a User, I want to authenticate locally."
55,"As User, I want to be able to log in."
56,"As an Archivist, I want to associate an Instance with a Container."
57,"As an Archivist, I want to assign Location information to a Container."
