Id,Text
1,"As a collection curator, I want to set a date after which data will expire and be deleted or hidden then deleted."
2,"As a collection curator, I want to see the scheduled records deletion date be displayed on the item and component pages.
As a repository manager, I want to track who is financially responsible for each item in the repository, who should probably be a person contact including name, phone, email, maybe title and address."
3,"As a repository manager, I want to be able t run a report periodically showing the storage consumed by each financial contact."
4,"As a collection curator, I want to map an item or items from one collection to another, so that an item may administratively belong to one collection but could appear in other collections."
5,"As a faculty member, I want to add a date delimiter to a search string, so that I can limit a search to return only results from before, after, or between a given date or dates."
6,"As a developer, I want to determine if we can use the in-built Fedora 4 event audit services."
7,"As a DPC, I want events to be created when a publication is published and unpublished, who did it, comment, so that I can record when and why something was made unavailable.  "
8,"As a repository manager, I want to specify the remote replication policy for each collection."
9,"As a repository manager, I want to elect to either replicate remotely or not and possibly to replicate beyond the primary remote site."
10,"As a collection curator, I want to have the repository queue my collection for replication upon ingest to our remote storage site and to display the remote replication status in each item and component page in the staff interface."
11,"As a collection curator, I want to have a summary of all remote replication status at collection level on my dashboard."
12,"As a collection curator, I want to have my collection be encrypted with a key maintained on that server, a checksum made and stored of the encrypted file, and the encrypted file replicated to our remote storage site."
13,"As a collection curator, I want to lift an embargo for an object in a simple way."
14,"As a repoadmin, I want to have Symplectic Elements bidirectionally communicate and integrate with DDR, which  provide a Fedora Connector and Emory is using a hidden Fedora instance that Hydra collects objects for."
15,"As a collection curator, I want to have items be made available under the permissions they were configured once the embargo date has been reached."
16,"As a collection curator, I want to create deposit forms specific to the collection."
17,"As a collection curator, I want to allow some collections the option of setting an embargo date at deposit."
18,"As a collection curator, I want to have item metadata to be discoverable while the item is under embargo."
19,"As a collection curator, I want to have the item to be allowed under the access permissions set on the object after the embargo data is reached."
20,"As a repoadmin, I want to have users to be presented with a license or a selection of licenses, specific to the collection, and deposit to be denied if the submitter does not accept the license."
21,"As a repoadmin, I want to have the license be recorded in metadata and displayed alongside the item."
22,"As a DigitalRecords Archivist, I want to have a method to batch ingest ETDs we receive from ProQuest."
23,"As a DigitalRecords Archivist, I want to have the batch ingest tool to recognize and set embargoes, permissions for embargoed items should be allow everyone to view metadata, and collection curator and repository administrators to download the files."
24,"As a DigitalRecords Archivist, I want to have the repository to lift embargoes on the release date and set the access controls to the configuration set on item on that date."
25,"As a visitor, I want to see the embargo status and release date clearly displayed and perhaps highlighted in some way."
26,"As a DigitalRecords Archivist, I want to have a method to add and remove multiple people to deposit groups in specific collections, to set a date that the deposit window closes, and to have these permissions conferred on these depositors should pick up on the collection's default permission."
27,"As a DigitalRecords Archivist, I want to edit the length of embargoes."
28,"As a DigitalRecords Archivist, I want to expose the descriptive record for each ETD item for re-use external to Fedora."
29,"As a DigitalRecords Archivist, I want to grant embargo privileges to other repository administrators."
30,"As a DigitalRecords Archivist, I want to have a method to add and remove individual people from deposit groups."
31,"As a collection curator, I want to have a tool to perform author authority control."
32,"As a collection curator, I want to move items from one collection to another."
33,"As a repoadmin, I want to expose repository contents via OAI-PMH."
34,Auditing & Reporting.
35,"As a DigitalRecords Archivist, I want to view and download summary embargo metadata for all ETDs in the repository."
36,"As a batch submitter, I want to provide my data and metadata in a simple, documented format to the repository staff for ingest."
37,"As repository manager, I want to view authenticated, active users and anonymous users."
38,"As a repository manager, I want to schedule a message to users to be displayed on each page on the repository between select times for things like notification of upcoming downtime."
39,"As a repository manager, I want to see a display of recent errors deduplicated for easy comprehension like Symplectic Elements provides."
40,"As a repository manager, I want to view a dashboard statistics about collections size including a list of collections, the number of items and components in each, total storage consumed by each collection, visualization of deposit activity."
41,"As a collection curator, I want to see a dashboard widget showing a summary of recent submissions to my collection."
42,"As a repoadmin, I want to continue to provide access to the repository in the event that the server fails."
43,"As a repoadmin, I want to provide the server SLA to data contributors."
44,"As a repoadmin, I want to update the repository index without disrupting access to the public interface."
45,"As a repoadmin, I want to provide a Linked Data interface to the repository."
46,"As a repoadmin, I want to have Symplectic Elements to communicate"
47,bidirectionally with the repository.
48,"As a developer, I want to upgrade to Fedora 4 and migrate our applications and data."
49,"As a collection curator, I want to have metadata changes made to items with repository-assigned DOIs to be propagated to the EZID."
50,"As a collection curator, I want to canonically identify authors and creators of my items by unique identifier, so that it's easier to view all of the works by that person together."
51,"As a collection curator, I want to see the referers for visitors who use resolver-abstracted links to reach my items."
52,"As a data contributor, I want to refer to the Disaster Recovery Plan in grant proposals and Data Management Plans."
53,"As a depositor, I want to get feedback post-ingest alerting me if files I submitted do not conform to their format specifications, if they are not valid, or if they are not wellformed."
54,"As a batch submitter, I want to access documentation describing the folder ingest process."
55,"As a depositor, I want to see what kinds of things the repository accepts and what formats are accepted and recommended."
56,"As a depositor, I want to easily find information about which data can be assigned a DOI, how to get one, and what metadata are required."
57,"As a collection curator, I want to create groups of users to manage permissions in the repository in an easy way."
58,"As a collection curator, I want to restrict access to my collection or items to Duke IP addresses."
59,"As a collection curator, I want users to contact me directly from the repository to request access to restricted objects."
60,"As a collection owner, I want to have submitters to my collection to be unable to modify existing items in that collection."
61,"As a superuser, I want to enter and exit the superuser scope."
62,As a collection curator I want to change permissions on one or more items simultaneously.
63,"As a collection curator, I want to be able require authentication to access objects unless the request is coming from a whitelisted IP address, list of addresses."
64,"As a repository manager, I want to view available versions of an object and restore a version from the staff interface."
