Id,Text
1,"As a system administrator, I want to run a script that installs the Neurohub node onto a virgin Ubuntu operating system."
2,"As a system administrator, I want to run a script that tests to see if a Neurohub installation is functioning correctly."
3,"As a release engineer, I want to call a script to execute acceptance tests against a Neurohub installation and report back the results."
4,"As an investigator, I want to view the acceptance test results, so that I can understand how feature-complete the Neurohub node currently is."
5,"As an MRI operator, I want to digitally record the responses that subjects make when completing paper-based forms."
6,"As a user, I want to navigate forwards and backwards between log books and log book pages without having to use my browser's back button."
7,"As a lab administrator, I want to theme the Web interface graphics/colours."
8,"As a systems administrator, I want  to install Neurohub dependencies into an Ubuntu 10.04 LTS machine using the normal Ubuntu package management tools."
9,"As a researcher, I want to create a log book page for an experiment and attach a file to this page."
10,"As a researcher, I want to create a log book page for an experiment and attach a directory that contains multiple files."
11,"As a researcher, I want to upload files prior to having them attached to a log book page."
12,"As a researcher, I want to upload files prior to having them attached to a log book page using the web interface."
13,"As a researcher, I want to upload files prior to having them attached to a log book page using a mapped network drive."
14,"As a researcher, I want to attach currently non-attached files to a log book page."
15,"As a researcher, I want to receive an alert of any unattached files that are in my workspace."
16,"As a researcher, I want to download files attached to an experiment using my Web browser."
17,"As a researcher, I want to access files stored in my Neurohub workspace, using a network drive attached to my workstation."
18,"As a researcher, I want to create a log book page."
19,"As a release engineer, I want to configure nightly builds that automatically perform a Neurohub installation on a virgin operating system, execute tests and report back results, without requiring any manual input/interaction."
20,"As a supervisor, I want to view what my researchers were doing on a given date or period of time."
21,"As a user, I want to upload large files of over 1GB in size."
22,"As a user, I want to assign tags to files that I have uploaded."
23,"As a user, I want to assign bespoke information to a file dependent on its type."
24,"As a user, I want to filter the files I get from search results based on their  type."
25,"As a user, I want to use the tags that I use are part of a controlled vocabulary."
26,"As a user, I want to make uploaded data files to be non-modifiable."
27,"As a user, I want to make predicated links between files."
28,"As a user, I want to restrict what can be entered to a metadata field."
29,"As a user, I want to have files I might accidentally delete to be restorable."
30,"As a user, I want to revert to an older version of an uploaded file."
31,"As a user, I want to have a visual way of viewing particular files uploaded over a time period."
32,"As a user, I want to associate together files involved in a experiment."
33,"As a system administrator, I want to have a managed backup protocol for the system."
34,"As a user, I want to enter metadata / describe an experiment protocol before a file is even created."
35,"As lab administrator, I want to have increased access to the system to support regular users. "
36,"As a user, I want to link together experimental runs to build an experiment."
37,"As a lab administrator, I want to create page templates with bespoke metadata fields."
38,"As a user, I want to capture the same metadata for each file created in an experimental run."
39,"As a lab administrator, I want a way of managing worm strain stocks that is integrated with Wormbase."
40,"As a user, I want to search for and download human-readable experimental protocols."
41,"As a user, I want to modify or branch an experimental protocol, whilst retaining the original."
42,"As a user, I want to view how an experimental protocol has evolved over time."
43,"As a user, I want to create a protocol and assign metadata to any stag."
44,"As a user, I want to prove definitively that I created a page on a certain date."
45,"As a user, I want to manage the references / papers I have investigated."
46,"As a user, I want to search specifically for files rather than log book pages."
47,"As a user, I want to limit my search to a particular set of log books."
48,"As a user, I want to limit my search results to one or more log book sections from one or more log books."
49,"As a user, I want to download files directly from the search results page."
50,"As a user, I want to see the provenance of the page as part of the search results."
51,"As a user, I want to attach multiple files at once to a log book page."
52,"As a user, I want to download multiple files from the search results in one go."
53,"As a user, I want to draw tables using HTML tags as part of the content of a log book page."
54,"As a lab member, I want to view events and equipment bookings within the group."
55,"As a user, I want to store worm behaviour videos with an encoding that can be analysed by the worm analysis software written by Christopher James."
56,"As a system administrator, I want to migrate data from an older version of NeuroHub to the current version."
57,"As a user, I want to have the system to also forward important news items to an external mailing list."
58,"As a user, I want to view and update an inventory of of the equipment and consumables that are present in the centre."
59,"As a user, I want to have a spreadsheet hosted within the Neurohub Web page, so that I can edit and calculate costs collaboratively with others while working on the proposal."
60,"As a supervisor, I want to create feedback forms within Neurohub, that my students can fill in and submit, in order to provide me with feedback about the course that they attended."
61,"As a user, I want to have the option to tell Neurohub to push posted content to my Twitter feed at the same time."
62,"As a user, I want to either keep a logbook entry private or share it with individuals rather than groups."
63,"As a user, I want to have the details of the workflow execution to be recorded in a neurohub log book while executing a workflow."
64,"As a user, I want to have that my Twitter Tweets to appear in Neurohub, so that other researchers in the centre can see what I am up to."
65,"As a user, I want to view the group's shared calendars via the Neurohub Nodes' Web page as well as on my mobile device."
66,"As a user, I want to sync events created in NeuroHub with a web-based Calendar such as Google Calendar."
67,"As a researcher, I want to have the ability to insert Greek symbols into my logbook entries."
68,"As a user, I want to have the ability to move multiple files around and rearrange them using the Neurohub file browser while processing data."
69,"As a researcher, I want to point my Mendeley client at a group-wide shared repository of research papers and get notifications via Mendeley when new content is added."
70,"As a researcher, I want to have electronic support for keeping track of which data sets were used/output/modified as part of a particular experiment."
71,"As a user, I want a mechanism for electronically sharing papers and notes with other researchers, so that we can collaborate effectively."
72,"As a researcher, I want to have services to support the long term curation of data, so that I can be sure that data will not get 'lost' with the passage of time."
73,"As a researcher, I want to have a timeline display of multiple data files and their associated images, so that I can compare the data taken from experiments on particular dates."
74,"As a researcher, I want to have remote access to my data for off-site working , so that I can still work effectively while away from the lab."
75,"As a researcher, I want to share post-experiment write-ups with other researchers, so that others can more easily replicate my work."
76,"As a researcher, I want to collect data as a library of data, which can then be used by one or multiple experiments that are defined at a later stage."
77,"As a researcher, I want to indicate within my electronic log book which experimental data is good/bad, hide the bad data, but still keep it in the system just in case it is useful in the future."
78,"As a researcher, I want to have the system to provide standard metadata, that all researchers in the centre (and beyond) can use, so that we can better understand each others' data."
79,"As a researcher, I want to have physiology images to be annotated with standard meta data, so that my data can later be searched for and understood."
80,"As a researcher, I want to have the ability to attach standard meta data for behavioural observations (and video), so that my data can later be searched for and understood."
81,"As a researcher,  I want to have the ability to attach standard meta data for drug responses, so that my data can later be searched for and understood."
82,"As a researcher, I want to have the ability to search for images of cells using standard meta data."
83,"As a researcher, I want to have at least some meta data to be automatically inserted when new data is added to the system."
84,"As a researcher,  I want to have the ability to attach detailed meta data to the data and entries that I create."
85,"As a researcher, I want to have the ability to select a partially pre-populated template that already contains commonly entered meta data while adding new data to the system, so that I do not waste time repeatedly inserting the same meta data over and over again for each individual file or log book entry."
86,"As a user, I want to be sure that existing metadata corresponding to the file is not lost when moving a file to a new location."
87,"As a researcher, I want to have the ability to form links between objects, for example File A is an analysis of File B, so that data can be searched by type and by association."
88,"As a researcher, I want to have the ability to locate experiment files using meta data, regardless of where those files are located."
89,"As a researcher, I want to have any data that I have written to the VRE to be protected from modification or deletion, so that original data can always be traced back to an experiment and a point in time."
90,"As a user,  I want to have the ability to keep my data private on the system, and only share data that I deem should be shared."
91,"As a researcher,  I want to have the ability to store all the inputs for an experiment so that the provenance of the results can be verified."
