Id,Text
1,"As an OlderPerson, I want to know exactly what ALFRED does with my personal data, and share it only on my specific permission. "
2,"As an OlderPerson, I want to receive information from ALFRED by speech technology. "
3,"As an OlderPerson, I want to use only well-visible buttons."
4,"As an OlderPerson, I want to use ALFRED as much as possible with speech interaction."
5,"As an OlderPerson, I want to always keep control on the activities of ALFRED. "
6,"As an OlderPerson, I want to be able to manage my privacy and data settings. "
7,"As an OlderPerson, I want to have everything preinstalled, so that I do not have to set up ALFRED by myself."
8,"As an OlderPerson, I want to have a small ALFRED device that is wearable and easy to carry with me."
9,"As an OlderPerson, I want to have ALFRED on all my computers, tablets and phone."
10,"As an OlderPerson, I want to have ALFRED on a bracelet or a necklace, so that I can always wear him with me. "
11,"As an OlderPerson, I want to have clear instructions and service after sales that guide me if I have trouble in using ALFRED."
12,"As an OlderPerson, I want to have an ALFRED device that speaks very slowly and clearly."
13,"As an OlderPerson, I want to have an ALFRED device that only reacts to me."
14,"As an OlderPerson, I want to have an ALFRED device that only listens to me when I ask it to. "
15,"As an OlderPerson, I want to have an introduction conversation with ALFRED, so that I can learn everything about him and he about me. "
16,"As an OlderPerson, I want to buy ALFRED in a senior shop with special client support. "
17,"As an OlderPerson, I want to buy ALFRED for a low price. "
18,"As an OlderPerson, I want to receive visual support, especially when looking at a list, map or agenda."
19,"As an OlderPerson, I want to use ALFRED to pay for small amounts."
20,"As an OlderPerson, I want to have a very good battery for ALFRED so I can keep him on the whole day."
21,"As an OlderPerson, I want to have an ALFRED device that informs me about a low battery when leaving the house. "
22,"As an OlderPerson, I want to have an ALFRED device that can be easily adapted for user that have visual or hearing troubles."
23,"As an OlderPerson, I want to have an ALFRED device that can be easily adapted for user that have visual troubles. "
24,"As an OlderPerson, I want to have an ALFRED device that can be easily adapted for user that have hearing trouble. "
25,"As an OlderPerson, I want to have an ALFRED device that repeats the last phrase. "
26,"As an OlderPerson, I want to be able to zoom into visual content. "
27,"As an OlderPerson, I want to have an ALFRED device that responds to the changing demand of the users by offering new Apps in the ALFREDO platform."
28,"As an OlderPerson, I want to have an ALFRED device that helps me to communicate with my friends and family. "
29,"As an OlderPerson, I want to have video conversation with others. "
30,"As a MedicalCaregiver, I want to have videophone. "
31,"As an OlderPerson, I want to have an AFLRED device that encourages its users for real interaction between humans and not only with ICT tools. "
32,"As an OlderPerson, I want to have an ALFRED device that provides me with information about existing apps that corresponds to my interests. "
33,"As an OlderPerson, I want to be able to customize my preferences in the different functionalities of the solution."
34,"As a MedicalCaregiver, I want to have a simple ALFRED unit that is expandable in is functions. "
35,"As an OlderPerson, I want to have my data stored directly on the phone."
36,"As an OlderPerson, I want to receive a wake up call from ALFRED in the morning checking on me if I am ok."
37,"As an OlderPerson, I want to receive day and night rythm support with agenda reminders. "
38,"As an OlderPerson, I want to receive support to use the public transport. "
39,"As an OlderPerson, I want to use ALFRED for navigation. "
40,"As an OlderPerson, I want to use ALFRED for touristic walks and indications with explanations on historical and cultural sights. "
41,"As an OlderPerson, I want to receive support to have a taxi on time. "
42,"As an OlderPerson, I want to use ALFRED to see who is standing at my door and open the door. "
43,"As an OlderPerson, I want to use ALFRED to pick the phone sooner up when I am at home. "
